ID,Date,Statut,Keyword,Titre,URL
45,vendredi 3 avril 2026,,Échange,Un petit déjeuner avec Charlie Windelschmidt: autour du spectacle ... Et les 7 nains ?,https://archipel.ville-fouesnant.fr/agenda/un-petit-dejeuner-avec-charlie-windelschmidt/
46,Du 4 octobre au 20 décembre 2025,,Exposition,Morsure #5: Estampes,https://archipel.ville-fouesnant.fr/agenda/morsure-5/
47,Du 4 octobre au 5 octobre 2025,,Exposition,"Week-end d’ouverture de Morsure #5: Visites, ateliers, rencontres...",https://archipel.ville-fouesnant.fr/agenda/week-end-douverture-de-morsure-5/
48,Du 29 novembre au 30 novembre 2025,,Exposition,"Litho week-end: Atelier, visite, démonstration et conférence",https://archipel.ville-fouesnant.fr/agenda/litho-week-end/
49,Du 17 janvier au 14 mars 2026,,Exposition,"Autant, le temps.: Philippe Bréson",https://archipel.ville-fouesnant.fr/agenda/autant-le-temps/
50,vendredi 31 octobre 2025,,Jeu,Aprem’ jeux #1: jeux turcs et orientaux,https://archipel.ville-fouesnant.fr/agenda/aprem-jeux-1/
51,vendredi 27 février 2026,,Jeu,Murder party : L’inconnue d’Istanbul: Aprem’ jeux #2,https://archipel.ville-fouesnant.fr/agenda/murder-party-linconnue-distanbul/
52,samedi 28 mars 2026,,Jeu,Questions pour un champion spécial Turquie: et clôture du temps fort,https://archipel.ville-fouesnant.fr/agenda/questions-pour-un-champion-special-turquie/
53,vendredi 24 avril 2026,,Jeu,Aprem’ jeux #3: ,https://archipel.ville-fouesnant.fr/agenda/aprem-jeux-3/
54,mercredi 12 novembre 2025,,Lecture,À voix haute #1: La Langue de mon Père,https://archipel.ville-fouesnant.fr/agenda/a-voix-haute-1/
55,mercredi 14 janvier 2026,,Lecture,À voix haute #2: Terre Noire,https://archipel.ville-fouesnant.fr/agenda/a-voix-haute-2/
56,mercredi 11 mars 2026,,Lecture,À voix haute #3: ... Et les 7 nains ?,https://archipel.ville-fouesnant.fr/agenda/a-voix-haute-3/
57,vendredi 13 mars 2026,,Moment musical,Session irlandaise: Ensemble de musique traditionnelle du Conservatoire + invités,https://archipel.ville-fouesnant.fr/agenda/session-irlandaise/
58,vendredi 26 septembre 2025,complet,Musique,Arthur H et Pierre Le Bourgeois: Autour du soleil,https://archipel.ville-fouesnant.fr/agenda/arthur-h-et-pierre-le-bourgeois/
59,jeudi 9 octobre 2025,,Musique,Rappelle-toi ! #1: Cristine Merienne et Hervé Lesvenan,https://archipel.ville-fouesnant.fr/agenda/rappelle-toi-1/
60,jeudi 9 octobre 2025,,Musique,Rappelle-toi ! #2: Cristine Merienne et Hervé Lesvenan,https://archipel.ville-fouesnant.fr/agenda/rappelle-toi-2/
61,jeudi 16 octobre 2025,Liste d'attente,Musique,Haïdouti Orkestar: Yuh Yuh Tour,https://archipel.ville-fouesnant.fr/agenda/haidouti-orkestar/
62,dimanche 9 novembre 2025,Liste d'attente,Musique,Stefano Di Battista: La Dolce Vita,https://archipel.ville-fouesnant.fr/agenda/stefano-di-battista/
63,dimanche 23 novembre 2025,Liste d'attente,Musique,"Orchestre National de Bretagne: Entre Jupiter et Neptune | Haydn, Mozart et Brahms",https://archipel.ville-fouesnant.fr/agenda/orchestre-national-de-bretagne/
64,jeudi 27 novembre 2025,,Musique,Mathieu Boogaerts: LE GRAND PIANO,https://archipel.ville-fouesnant.fr/agenda/mathieu-boogaerts/
65,dimanche 7 décembre 2025,Liste d'attente,Musique,Concert de Noël: du Conservatoire,https://archipel.ville-fouesnant.fr/agenda/concert-de-noel/
66,jeudi 11 décembre 2025,,Musique,Ruşan Filiztek: Exils (de la Mésopotamie à l'Andalousie),https://archipel.ville-fouesnant.fr/agenda/rusan-filiztek/
67,dimanche 11 janvier 2026,Liste d'attente,Musique,100 % Satie: Denis Pascal,https://archipel.ville-fouesnant.fr/agenda/100-satie/
68,jeudi 12 février 2026,Liste d'attente,Musique,H-Burns & The Stranger Quartet: Hommage à Leonard Cohen,https://archipel.ville-fouesnant.fr/agenda/h-burns-the-stranger-quartet/
